"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"BRAF",0.54912,-0.30203,-0.94289,-0.0027119,-0.44875,-0.25685,0.32191,-0.23084,-0.45972,-0.14308,0.027324,-0.28064,-0.42392,-1.1375,-0.18369,0.064505,-0.18709,0.06812,0.44718,-0.19544,0.17296,-0.79082,0.58999,0.82199,-0.53467,-0.23417,-0.35517,-0.18451,-0.066838,-0.45811,-0.18692,1.3716,0.012179,0.47266,-0.040119,0.35452,-0.82439,-0.82385,0.40001,-0.68828,-0.80936,0.11098,0.5431,-0.81583,-0.15752,0.098024,-0.57761,0.068186,0.60353,-0.36005,-0.1731,-0.43826,-0.20104,-1.0201,-0.51163,-0.66477,-0.3995,0.9209,-0.83593,0.19581,-0.15364,-0.030122,-0.80266,0.20995,0.13648,-0.50677,0.052093,-0.38077,0.18862,-0.26662,-0.23139,-1.1207,-0.38501,-0.345,0.21061,-0.28173,0.14761,-0.45043,-0.49627,-0.57729,-0.052247,-0.25516,-0.40202,0.37707,-0.15067,-0.11486,-0.41863,-0.28207,0.95208,0.51188,0.19609,0.23761,0.071927,0.074098,-0.83317,-0.58276,0.21278,-1.3385,-0.1188,0.40274,-0.60063,1.8576,-0.51553,-0.33837,-0.15964,0.17013
"BAD",-0.3281,-0.15492,-0.23774,0.1168,0.036011,0.19135,0.30373,0.17186,-0.27022,-0.038497,-0.37868,0.34159,-0.17345,-0.26975,0.08357,0.22483,0.15586,-0.12114,0.1851,-0.028465,0.26055,0.14056,0.13235,0.37103,-0.052582,0.074372,0.22046,-0.063825,0.053143,0.40866,0.14762,-0.55451,0.20188,0.25364,0.12086,0.01979,0.0023278,0.18491,0.13646,-0.24094,-0.20194,0.37794,0.20079,0.0059405,-0.25784,0.21182,-0.10916,0.28361,-0.2164,0.23365,0.38867,0.026597,0.045896,0.22329,0.18104,-0.17648,-0.45154,0.1871,0.1414,0.065258,0.0063555,0.077997,-0.36526,0.051594,-0.39942,-0.34218,0.23208,-0.075903,-0.13541,0.10839,0.013459,-0.30702,-0.21744,0.64122,0.48791,0.59244,0.4081,0.3351,0.13719,-0.11208,0.28658,-0.16322,0.0094202,0.10951,0.32147,0.2168,-0.004778,-0.076728,0.067887,0.13379,0.11679,-0.12001,0.2658,-0.019734,0.039962,0.36688,0.11905,-0.034858,0.49511,0.17077,0.19249,0.01686,0.60122,0.12783,0.24806,-0.0081291
"BAP1",0.25288,-0.53734,-0.86014,0.061237,-0.42804,0.12044,0.10239,-0.025381,-0.089282,-0.030677,0.050271,-0.11729,-0.15856,-0.63909,0.37266,-0.19144,-0.34579,0.29971,-0.045173,0.12158,-0.14881,-0.2247,-0.37454,-0.41813,-0.62327,-0.1343,-0.38729,-0.46123,0.091347,-0.18043,-0.35305,0.17693,-0.20024,-0.11325,-0.16215,0.22376,-0.24696,-0.2555,0.11793,-0.50665,-0.61625,-0.16135,-0.035827,-0.58347,-0.063414,-0.19058,-0.21731,-0.36499,0.098481,-0.24138,-0.0020877,-0.13315,-0.031457,-0.18345,-0.28446,-0.6137,-0.21789,0.45453,-0.59388,-0.13309,0.089967,0.050762,-0.53025,-0.23824,-0.1125,-0.36245,0.10857,0.063388,-0.024328,-0.12657,-0.51545,-0.16647,0.35366,-0.84119,-0.17999,-0.16896,0.04129,-0.28788,-0.39928,-0.27647,-0.16998,0.339,-0.6261,-0.20173,-0.57988,-0.25103,-0.33417,0.048245,0.18194,-0.24688,-0.027774,-0.21837,-0.46384,-0.26198,-0.47016,-0.50882,-0.043752,-0.59398,-0.19462,-0.22537,-0.12801,-0.089258,0.027205,-0.49245,-0.15618,-0.39412
"BRCA2",0.1045,-0.068323,-0.17895,0.10832,-0.28688,0.057023,0.36939,0.0052119,0.063324,0.34391,-0.049203,0.11801,0.23023,0.010965,0.058846,0.026099,-0.32185,0.030721,-0.248,0.058217,0.21698,-0.078202,-0.11953,0.27198,-0.017691,0.21791,-0.25844,-0.14832,-0.0067867,0.087034,-0.3203,-0.049837,-0.11104,-0.19179,-0.26767,-0.10252,0.047793,0.047255,-0.010399,0.1912,0.1356,0.17673,0.30246,0.059382,-0.12585,-0.035156,-0.0088255,-0.13731,0.044074,-0.1075,-0.22364,0.47206,0.12348,-0.055999,-0.1578,-0.028154,0.21243,0.085453,0.18118,0.019026,0.061271,-0.1222,-0.014621,0.07105,0.10259,-0.98183,-0.11166,0.045711,0.18747,0.030352,0.099454,-0.02296,0.20773,-0.40763,-0.048916,-0.061126,-0.10067,0.085597,-0.058548,0.015717,-0.072607,0.093544,-0.19824,-0.018297,-0.029209,0.10915,0.12683,0.12356,0.011782,-0.033002,0.018889,-0.055746,0.12367,0.15726,-0.21532,0.10869,0.073399,-0.090265,0.079539,0.24267,0.19866,0.2729,0.17624,-0.20667,0.03051,-0.20483
"MS4A1",-0.020484,-0.14601,0.12832,-0.29708,0.3837,0.15442,-0.12972,-0.073699,0.099614,0.0412,-0.26015,-0.031179,-0.066067,0.47151,0.21191,-0.28429,0.1067,0.077799,-0.048904,-0.12738,-0.16009,-0.3014,-0.28224,-0.17268,-0.0094363,0.038686,0.081857,-0.041588,-0.080845,-0.16428,-0.044239,-0.037859,-0.24108,-0.13265,-0.22027,-0.12419,0.18379,0.16542,-0.03233,0.10115,0.36523,-0.17129,-0.11442,0.37472,-0.061402,-0.19879,0.31482,0.021448,-0.15025,-0.070657,-0.16927,0.14973,-0.021244,-0.013605,-0.083523,0.12967,0.186,-0.16757,-0.052337,0.065294,-0.067052,-0.066653,0.27478,-0.11356,0.26384,0.11478,-0.18425,-0.1567,-0.20861,-0.12781,-0.045524,-0.042415,-0.04057,-0.18686,-0.10874,-0.043804,-0.16977,-0.052926,0.028534,0.00076146,-0.10918,-0.10165,0.084531,-0.076006,0.041672,0.059276,0.18947,0.078266,-0.071833,0.056778,-0.39748,0.0019669,-0.10955,-0.067996,0.3874,0.078991,-0.0042808,0.16327,-0.10163,-0.11465,-0.1123,-0.089838,-0.13452,0.029533,0.072084,-0.048867
"CCNE2",-0.17381,-0.60165,-0.61945,-0.72,-0.3958,-0.32908,-0.035212,-0.22236,-0.53655,-0.53642,-0.19863,-0.48877,-0.34994,-0.25266,0.20546,-0.1997,-0.19264,0.19042,-0.02337,-0.39899,-0.39688,-0.8004,-0.44752,-0.7381,-0.49093,0.29811,0.15266,-0.1599,0.41089,0.047146,-0.30962,0.26336,-0.50409,-0.089158,-0.54967,-0.47561,-0.36793,-0.064191,-0.40465,-0.24358,-0.12872,-0.71421,-0.75448,0.73089,-0.46914,-0.5108,-0.051315,-0.28446,-0.53986,-0.26226,-0.1662,0.059321,-0.15325,-0.15571,-0.1898,-0.72451,0.052179,-0.36744,-0.32789,-0.36463,-0.51464,-0.46886,0.10669,-0.75188,-0.033087,1.2052,-0.78804,-0.15376,-0.28869,-0.54256,-0.60293,-0.74165,-0.09276,-0.17151,-0.62383,-0.62805,-0.65298,-0.22337,-0.061001,-0.13426,-0.51686,0.92146,-0.48388,-0.21985,0.032118,-0.30676,0.75165,1.4229,-0.58902,-0.24416,0.30045,0.16899,-0.51687,0.11555,-0.4624,-0.59636,-0.23071,-0.34229,-0.26145,-0.31036,-0.22612,-0.042149,-0.27166,0.17068,-0.29241,-0.48542
"ETS1",-0.85998,-0.69387,-0.45149,-0.49455,0.70213,0.78992,-1.0725,-0.40232,-0.59672,-0.50997,-0.86228,-0.35665,-0.39885,-0.43098,0.60631,-0.58943,1.2133,0.71812,0.45455,-0.70262,-0.43285,-0.59108,-0.51926,-0.34764,-0.5464,0.17474,0.85594,-0.42534,-0.32465,-0.55095,0.30126,-0.51994,-0.83571,-0.62215,-0.66904,-0.44577,-0.061244,0.6679,-0.36532,0.043845,1.0051,-0.87874,-1.0858,1.1392,-0.31902,-0.61197,0.76034,-0.13822,-0.71446,-0.17025,-0.53272,0.36413,-0.32023,0.090406,-0.37656,0.65139,-0.035122,-1.0629,-0.66894,0.20918,-0.7251,-0.58184,0.60979,-0.84677,-0.31757,-0.05894,-1.4145,-0.83362,-0.7328,-1.0089,-1.32,-0.50749,-0.34263,-0.2158,-0.55286,-0.1111,-0.32893,-0.54535,0.44171,-0.035866,0.55444,-0.39435,0.19819,-0.58152,0.34097,0.73729,-0.012087,0.29182,-0.08321,-0.078951,-0.77355,0.49692,-0.95314,0.31065,1.8839,0.67994,0.33454,0.49817,-0.7494,-0.2742,-0.24182,-0.3999,-0.94483,-0.08195,-0.11518,-0.40316
"EIF4G1",-0.059252,-0.47018,-0.97102,0.2972,-0.32733,0.10548,-0.09807,-0.050624,-0.26647,-0.16207,0.017597,0.053757,0.19315,-1.0231,0.2943,-0.1672,-0.39092,0.83774,0.094328,-0.41614,-0.15121,-0.20244,0.032065,-0.98663,-0.77486,0.031768,0.0085319,-0.21997,0.63849,0.72094,-0.21664,0.30945,0.38234,0.65511,0.29491,0.26839,-0.65976,-0.17985,0.19506,-0.564,-0.5829,0.0051872,0.13764,-0.70865,0.15489,0.23095,-0.6708,-0.29261,0.18385,0.054526,-0.11334,-0.38665,-0.38339,-0.24082,-0.13104,-0.67528,-0.58998,0.63896,-0.58094,0.052724,-0.23128,0.25972,-0.56946,0.11668,-0.36935,-0.4169,0.20366,0.31969,0.19955,-0.099052,-0.2184,-0.37056,-0.29444,-0.51727,0.039935,-0.18243,0.36329,-0.0020412,0.30638,-0.027035,0.18136,0.24279,-0.70662,0.26852,0.37646,-0.024003,-0.67677,-0.062491,0.4221,0.27918,0.27118,-0.0075102,-0.12006,-0.18164,-0.53698,-0.26331,0.17248,-0.46853,0.28316,0.11736,0.12402,0.14495,0.088167,-0.0038231,-0.014725,-0.35067
"FASN",3.2481,2.2466,0.37075,-0.81329,-0.92888,-1.6825,-0.022257,0.095918,1.0364,0.29477,1.5266,-0.19586,2.0336,0.022394,-1.1455,2.872,-0.94606,-0.48638,1.7641,1.5977,0.2234,2.4652,1.5722,1.3438,-1.0782,0.73181,-1.0335,2.7843,1.4691,2.223,-0.29265,0.99872,3.734,0.69611,0.52859,1.5745,2.1016,-1.0883,0.48991,0.47312,-0.074702,1.7853,0.042584,1.277,1.5243,-0.20839,0.76218,-0.083708,0.57415,2.9419,2.7985,2.0744,2.3274,3.933,4.4217,0.98725,0.16186,0.38347,0.87165,0.4237,-0.055814,2.273,-0.34278,0.56335,-0.31507,0.86299,1.8216,-0.41356,1.2357,1.5519,-1.1953,2.5594,0.69295,-0.067716,0.23217,1.1242,-0.44986,1.1905,2.5345,1.7361,1.7031,0.14653,0.086062,2.1601,-0.45084,-1.1438,1.8754,0.25013,-0.67613,0.53597,0.86636,0.62308,1.926,0.89484,2.361,1.8465,2.451,2.5694,0.72464,0.92966,1.7391,0.84978,0.30366,0.94065,0.8831,0.11972
"FOXM1",0.047908,-0.30411,0.011376,0.79315,-0.50427,0.58676,-0.013327,0.44048,-0.30886,-0.67742,-0.38207,-0.22607,-0.25354,0.35568,1.1583,0.33263,-0.35778,1.2822,-0.030971,0.60651,-0.46493,-0.016966,-0.39227,-0.73161,-0.02997,0.20195,-0.54252,-0.38585,0.52267,0.45122,-0.44869,0.097306,-0.85655,0.77781,-0.32861,-0.22034,-0.67637,-0.33518,0.79454,-0.3696,-0.54824,-0.76069,-0.27392,-0.39279,-0.28821,0.73042,-0.38814,-0.64635,0.40944,-0.09577,-0.0053512,-0.43567,-0.68388,-0.45287,-0.39731,-0.52242,-0.067539,0.28984,-0.37438,-0.4442,-0.10533,-0.34603,-0.45744,-0.8135,-0.49085,0.027142,-0.55856,1.0661,0.55776,-0.56862,-0.44331,-0.60725,0.1509,-0.70366,-0.69291,-0.72959,-0.087448,-0.40266,-0.22545,-0.25823,0.11791,1.3423,-0.5852,-0.28752,-0.092358,0.002622,-0.15268,0.47287,-0.080524,-0.18842,0.931,-0.20491,-0.55607,-0.48373,-0.105,-0.8636,-0.23356,-0.45449,0.17719,-0.02193,-0.11474,0.48653,0.37957,-0.033887,-0.3501,-0.38053
"G6PD",-0.22572,-0.27161,-0.047468,-0.043288,-0.098842,0.090283,-0.24711,-0.16373,0.071584,-0.40735,-0.29888,-0.22849,0.20759,0.18281,-0.46675,-0.10733,-0.084477,-0.28309,-0.15244,-0.23858,-0.40728,0.093882,-0.22199,-0.0088043,-0.16204,-0.24357,0.13757,-0.14418,-0.44918,1.0026,0.42091,-0.24998,-0.22618,-0.064082,-0.011972,0.052012,0.13809,0.021605,0.90585,-0.018236,-0.050144,-0.36838,-0.28528,0.81663,-0.0021152,0.055516,-0.012922,-0.048777,-0.15334,0.23895,0.21898,0.00071765,0.393,0.21733,0.97461,-0.095088,-0.45454,-0.52553,-0.019054,0.027466,-0.31167,0.1396,0.063042,-0.31689,-0.47941,-0.40246,-0.22057,-0.31904,-0.42978,-0.43468,-0.55209,-0.40692,-0.25906,0.34216,0.16328,-0.058611,-0.12843,0.0016925,0.1238,-0.060687,0.52419,-0.30069,0.08104,-0.20699,-0.36963,-0.11775,-0.24936,-0.15243,-0.31903,-0.47707,-0.13439,-0.1013,-0.15004,-0.0032352,0.26192,-0.15087,-0.12978,1.4031,0.3103,-0.021073,-0.033424,-0.017337,-0.30537,0.33049,-0.11909,-0.01673
"GAPDH",-1.5405,-2.0724,-2.7957,0.031195,-0.52294,1.0864,-1.8323,-1.5459,-1.8819,-1.936,-0.90296,-2.0606,-2.3771,-3.1008,0.90222,-0.4658,0.88547,0.81252,1.2954,-2.3434,-1.4792,-0.11155,-1.2722,-0.92987,-2.6014,-0.70242,1.1121,-1.1282,-0.44393,-0.2843,-1.3081,-0.4899,-0.37344,3.2026,-1.6809,-0.86424,-1.8821,-2.7,-1.324,-3.236,-2.3606,-1.1006,-1.3278,-1.8838,-2.4241,0.19648,-1.7498,-2.3189,-2.1811,-2.0572,-1.9375,-0.45188,-1.1943,-0.75822,-1.4368,-2.5956,-2.1132,-0.4661,-1.6183,-0.85902,-0.52824,-1.5338,-1.8746,-0.91154,-2.4103,-0.79815,-0.87586,-0.92885,0.72426,-1.2292,-2.9965,-1.4682,-2.3048,1.3669,-1.5446,-1.8971,-0.99792,-1.8528,-1.6282,-1.6834,0.13806,-1.1447,-1.5328,-0.55732,-0.20936,-2.7658,-2.8892,-0.85635,-2.2693,-2.3167,-0.11138,-0.30961,-1.7162,-0.59356,-3.4904,-1.7062,-1.8443,-2.8206,0.1331,-1.2096,-0.54976,-0.65525,-0.42609,-1.8814,-1.8371,-2.5279
"NRG1",-0.070607,-0.063233,0.26,0.11708,0.0072994,0.013699,-0.080754,0.031399,0.1555,-0.22311,0.0038719,-0.11044,-0.057352,0.32937,-0.11446,-0.24876,-0.25793,-0.049245,-0.27396,0.024057,-0.16565,0.030214,-0.18435,-0.08361,0.096441,-0.10181,-0.1796,0.11109,-0.118,-0.0049483,-0.045165,0.010799,-0.13344,-0.07166,-0.080608,-0.12103,-0.10725,0.057407,-0.086449,0.13973,-0.026253,-0.23789,-0.031933,0.31959,-0.11697,-0.13731,0.12512,-0.11308,-0.20889,-0.21187,-0.12672,0.19852,0.083657,0.0055368,-0.1671,-0.20335,0.10531,-0.063573,-0.15371,-0.12365,-0.09487,-0.1925,0.098591,-0.23286,-0.013587,0.2974,-0.17778,0.00075786,-0.13139,0.10532,-0.0039418,0.22891,0.1336,-0.076812,-0.17424,-0.13702,-0.060934,-0.061452,-0.25249,0.0035717,-0.097306,-0.15893,-0.0069931,-0.07383,-0.09081,0.017716,-0.010355,-0.085801,0.88663,-0.16193,-0.19979,-0.053153,-0.189,-0.036882,0.35082,-0.097849,-0.069925,0.052102,-0.085538,-0.086635,-0.095163,-0.0025457,0.084653,0.053578,-0.021884,0.12607
"MYH11",0.38787,0.67575,2.3632,-1.3658,4.337,-1.8138,-0.33356,-0.73988,0.63421,-0.42161,-0.0098681,0.40392,0.24575,2.3532,1.124,0.093335,-1.0318,-0.7653,-0.13378,-0.26,-0.16688,-0.55526,-0.54511,-0.84836,0.65694,-0.80121,1.3665,1.6809,-1.6109,-0.85546,-0.15683,0.27837,-1.3758,0.77026,-1.6362,-0.21366,1.8937,0.97931,-0.038659,3.2102,4.1963,-0.6497,0.50182,-0.87213,-0.54624,0.8656,2.6571,0.16527,-1.3303,1.3134,0.44732,0.4254,2.0533,-0.86801,1.2152,1.3138,3.1825,-1.4672,0.44156,0.1116,0.33647,0.14333,-0.14174,1.3189,1.6478,1.633,-1.615,0.63671,-0.40884,1.7685,1.8808,0.59891,-1.1318,-0.76195,0.7602,1.3996,-1.2251,0.62627,0.91391,0.66386,-0.18688,-1.3325,3.1366,-0.7206,0.19859,0.32628,1.7333,-0.42231,1.0166,0.32573,-0.51401,-1.0215,-0.99527,1.7267,1.0265,1.0817,0.83286,-0.14747,-1.6229,-0.03229,-0.13768,0.93819,-1.2917,-1.5961,-0.055674,0.5794
"MYH9",-0.26019,-0.12608,-0.079331,0.50956,0.16062,-0.020014,0.10399,0.4181,0.18674,-0.019081,0.24556,0.13613,0.22112,-0.28257,0.13185,0.25255,0.4483,0.038109,0.316,-0.56868,0.43192,0.014924,0.17912,-0.061721,-0.55177,-0.20647,0.43706,0.18591,-0.12777,0.2705,0.28349,0.027054,0.20557,0.19968,0.38296,0.37244,0.20808,0.15393,0.28682,0.15301,-0.1193,0.19046,0.29235,0.39269,0.35558,0.36126,0.039745,0.11742,0.14376,0.36021,0.32485,0.45523,0.34455,0.081571,0.21772,-0.18042,-0.21631,0.19865,0.099538,-0.12151,-0.10558,0.21501,0.0028938,-0.037869,-0.23446,-0.055338,0.13942,0.38754,0.05282,0.05728,-0.019379,-0.054222,-0.023809,-0.16357,0.17229,-0.038378,0.37928,0.24234,0.0045207,0.40287,0.14574,-0.13753,0.47043,0.59388,0.31594,0.076199,-0.18354,0.42134,0.21092,0.10123,0.27423,0.24017,0.081251,0.40632,-0.08204,0.4182,0.20992,0.28559,0.027752,0.47455,0.47346,0.25648,0.34185,0.19097,0.51176,-0.073617
"NRAS",0.1388,0.31619,0.56475,0.29536,-0.17625,-0.2208,-0.018423,0.16453,0.43378,-0.1169,0.20408,0.10191,0.19497,0.83103,-0.3684,-0.28495,-0.22295,-0.17651,-0.19624,0.28692,-0.076548,0.1632,-0.18112,-0.0027632,0.34429,-0.097981,-0.26614,0.063302,-0.13607,-0.0021584,-0.077246,0.053785,-0.10951,0.019991,-0.17343,-0.13936,0.06016,0.22204,-0.065124,0.41832,0.29068,-0.068903,0.17716,0.76743,-0.084413,0.030799,0.19073,-0.023832,-0.14451,-0.093615,-0.072592,0.51163,0.14188,0.13332,0.034038,0.28609,0.35448,0.080968,0.16591,-0.0030664,-0.06313,-0.16151,0.2969,-0.10717,0.423,-0.1906,-0.065124,-0.013422,0.058089,-0.15926,-0.0015168,0.36028,0.21761,0.10839,-0.20949,0.035386,-0.069986,0.025637,0.096527,0.26767,-0.15706,-0.22763,-0.0096863,-0.18458,-0.30757,0.14571,0.30739,-0.2066,0.14097,0.10747,-0.27901,0.22274,-0.11848,-0.1318,0.85257,-0.17158,-0.04907,0.14107,-0.18548,-0.11701,0.0023745,0.055678,-0.12917,-0.027515,-0.02558,0.17964
"NDRG1",0.82688,0.74713,0.56435,0.061796,1.2244,1.5704,-0.57901,1.3039,-0.70133,-0.62638,-0.42887,1.1645,-0.49014,0.017665,0.44982,-0.47011,-0.40771,-0.043591,-0.44069,-0.1869,-0.10632,0.28627,-0.49073,2.4596,-0.050659,-0.65653,-0.48775,-0.80808,-0.28003,-0.21344,0.50564,-0.85987,-0.14922,3.1097,-0.11817,-1.3071,-0.59343,-0.23237,0.45347,-0.91297,0.26295,-0.28789,-0.23726,0.50741,-1.2887,2.6531,0.76497,0.064237,-0.86221,0.43943,-0.35635,-0.89439,-0.31954,0.41493,0.43202,-0.25705,0.95405,0.16187,-0.27752,-0.40598,1.0206,-0.49738,0.78938,0.29826,0.71299,1.6182,-0.83849,-0.016606,-0.5703,0.34389,0.58476,0.39303,0.39865,0.61632,-0.23858,-0.21966,0.94924,0.016639,0.59653,-0.36573,-0.68331,-0.93363,0.81272,-0.90216,0.82439,1.7766,0.42299,-0.94298,0.21775,-0.032037,0.42328,0.61888,-0.4269,-0.44423,1.0597,-0.4775,-0.58067,-0.4928,1.1668,-0.589,0.14446,-0.57092,-0.19492,0.40986,-0.86101,0.0077687
"CDKN1A",-0.22262,0.1255,0.12538,0.20441,0.48452,0.27358,-0.53583,0.27353,0.50676,0.39069,-0.28141,0.21183,-0.15179,0.17059,0.00048068,-0.18353,0.53467,0.39685,0.37012,0.37591,-0.14218,0.45707,0.36028,0.078041,0.74049,0.21874,0.52252,0.4801,-0.25327,0.30352,0.58229,0.16491,0.15489,-0.17146,0.28854,0.10224,0.32783,0.069604,0.20673,0.33169,0.35144,0.33962,0.060738,0.62684,0.33991,0.79486,-0.16511,-0.041104,0.2373,-0.17238,0.18234,0.53514,-0.41401,0.15357,0.11247,-0.051179,-0.19513,-0.2825,0.41859,-0.39657,-0.33899,0.048764,0.54933,0.10462,0.0053795,0.15596,-0.58064,-0.078734,0.064565,0.15421,0.61385,0.094154,-0.019188,1.0403,0.50883,0.15029,-0.097681,0.28442,0.11175,0.43617,0.34218,0.22695,0.039046,1.0006,0.88417,0.054273,0.012724,0.31147,-0.71408,0.33598,-0.03849,0.59174,0.084221,0.25551,-0.20947,0.42702,0.29848,0.65316,-0.062089,0.29803,0.49619,-0.049472,0.86151,0.35112,0.12508,0.32759
"PDCD4",-0.88142,0.17424,0.36551,-0.28819,0.70879,-0.19982,0.93559,0.29009,-0.40023,-0.45737,-0.91522,-0.096249,-0.67056,-0.4366,0.96298,0.31246,0.99387,-0.82268,-0.020313,-0.18175,-0.2223,0.15262,-0.012594,0.64669,-0.85425,-0.31294,0.43929,-0.38991,0.75551,-0.52247,-0.26329,-1.0481,0.77663,0.75021,0.90342,0.27078,-0.17494,0.15954,0.964,-0.3849,-0.28442,1.3351,0.2002,-1.6454,-0.49316,0.50182,-1.0165,-0.0086394,0.085807,0.16902,0.14097,-1.5866,0.10999,0.46509,0.83641,-0.02,-1.7354,0.86508,0.12396,0.013532,0.70583,-0.177,-0.78177,0.71151,-1.4417,-0.71033,-0.077126,0.16054,-0.28382,-0.49865,-1.7102,-1.4702,0.22155,0.34347,1.5055,1.2096,0.20153,-0.2291,0.72513,-0.23288,1.1377,-0.24002,0.58232,-0.62354,-0.32028,0.11598,0.078141,-0.0024924,1.9096,-0.079005,0.62583,-0.14598,0.54924,-0.64455,-0.091183,0.086283,-0.30139,0.065293,0.0072978,0.99997,-0.23355,0.15572,0.72279,-0.2868,0.35944,-0.5483
"PIK3R1 PIK3R2",-0.52941,0.057895,-0.12919,4.83e-05,-0.27809,0.012421,0.59649,-0.0055496,0.032026,0.82757,0.42326,0.1997,0.27149,-0.63822,-0.10143,0.60399,0.38362,-0.078503,-0.24867,-0.18797,-0.031115,-0.27438,0.43738,0.33134,-0.22075,-0.18507,-0.60301,0.0060861,-0.13132,-0.041776,0.024613,-0.095521,0.20058,-0.16074,0.0041427,0.79311,-0.07047,0.30806,-0.28792,-0.13772,-0.12545,0.22056,0.64913,0.38884,0.19527,0.5086,-0.3471,0.447,0.053475,-0.052714,-0.1782,0.20154,0.024428,-0.15094,-0.0028465,-0.2728,-0.31477,-0.00079307,0.045652,0.79293,0.085873,0.13104,0.15078,0.33914,-0.24305,0.55939,-0.35072,0.042268,-0.32894,0.55236,-0.24957,0.058477,0.61077,-0.35254,0.32203,0.32447,0.26327,0.0088685,-0.028445,-0.0068892,0.11835,0.20363,0.32522,0.65028,-0.088842,-0.074711,0.025522,-0.13708,-0.25456,-0.16422,0.21312,-0.39534,0.38316,-0.26146,-0.065597,0.49602,0.011383,-0.0091997,0.48463,0.26399,0.21127,-0.040304,0.23999,-0.16376,0.11285,-0.13201
